cohort,AnalysisId,Site,partition,y
lowest-OCEC 800,85620,WHPA1,train,0.8925171561468864
lowest-OCEC 800,166387,SIME1,train,0.2401480548908871
lowest-OCEC 800,84790,SAPE1,train,0.623014196689368
lowest-OCEC 800,167324,TRCR1,train,1.0788659554919753
lowest-OCEC 800,167046,MORA1,train,0.4351567614115679
lowest-OCEC 800,164161,HACR1,train,0.101925696900384
lowest-OCEC 800,161005,UPBU1,train,111.40607501628486
lowest-OCEC 800,166135,LAVO1,train,0.9680511526224193
lowest-OCEC 800,159073,HAVO1,train,0.8884556884790065
lowest-OCEC 800,85093,NOAB1,train,0.9094726289839744
lowest-OCEC 800,166480,BRID1,train,0.480849773587432
lowest-OCEC 800,168496,SIME1,train,0.7719810376955905
lowest-OCEC 800,159182,SIME1,train,10.006570323275602
lowest-OCEC 800,165489,SIME1,train,0.7460589225114144
lowest-OCEC 800,162346,CRLA1,train,13.629909179632609
lowest-OCEC 800,166386,SIME1,train,1.5289769488118687
lowest-OCEC 800,168416,REDW1,train,0.2199884020959743
lowest-OCEC 800,162384,TRCR1,train,1.590137307857549
lowest-OCEC 800,85437,WHPA1,train,1.0799619076767455
lowest-OCEC 800,161746,HACR1,train,1.0121590193315038
lowest-OCEC 800,166723,BOLA1,train,0.6139457490456577
lowest-OCEC 800,166721,BOLA1,train,0.6139457490456577
lowest-OCEC 800,166438,BOAP1,train,1.5811608163490498
lowest-OCEC 800,166303,WHIT1,train,1.0160722635878594
lowest-OCEC 800,166291,WHIT1,train,1.0160722635878594
lowest-OCEC 800,164899,REDW1,train,2.286106774427376
lowest-OCEC 800,164897,REDW1,train,2.286106774427376
lowest-OCEC 800,167249,MOZI1,train,1.410013071006077
lowest-OCEC 800,166328,TRCR1,train,1.912839544633651
lowest-OCEC 800,167028,BRID1,train,0.4038929133614591
lowest-OCEC 800,167061,GUMO1,train,2.4320586571070404
lowest-OCEC 800,166050,HAVO1,train,2.057999430646956
lowest-OCEC 800,168938,THSI1,train,0.3689995226391935
lowest-OCEC 800,160324,HACR1,train,0.4060123158969503
lowest-OCEC 800,167891,HACR1,train,0.45702952535304
lowest-OCEC 800,85590,PEFO1,train,1.180454578793381
lowest-OCEC 800,86902,CRMO1,train,1.6628823660295873
lowest-OCEC 800,156960,HACR1,train,1.29906653895684
lowest-OCEC 800,168443,BLIS2,train,0.5698744257277728
lowest-OCEC 800,164256,TRCR1,train,0.4610904537095999
